caption,name,vendor,
NI Authentication 2.0 (64-bit),NI Authentication 2.0 (64-bit),National Instruments,
NI VC2008MSMs x64,NI VC2008MSMs x64,National Instruments,
PreEmptive Analytics Visual Studio Components,PreEmptive Analytics Visual Studio Components,PreEmptive Solutions,
Dotfuscator and Analytics Community Edition,Dotfuscator and Analytics Community Edition,PreEmptive Solutions,
NI VC2008MSMs x86,NI VC2008MSMs x86,National Instruments,
NI SSL Support,NI SSL Support,National Instruments,
SlimDX Runtime .NET 4.0 x86 (January 2012),SlimDX Runtime .NET 4.0 x86 (January 2012),SlimDX Group,
NI EulaDepot,NI EulaDepot,National Instruments,
Actipro WinForms Controls 2016.1,Actipro WinForms Controls 2016.1,Actipro Software LLC,
OpenEnterprise Solutions,OpenEnterprise Solutions,Emerson,
NI-PAL 14.5.0f0,NI-PAL 14.5.0f0,National Instruments,
NI-DIM 14.1.0,NI-DIM 14.1.0,National Instruments,
VISA Shared Components 64-Bit,VISA Shared Components 64-Bit,IVI Foundation,
OpenEnterprise Software Licensing,OpenEnterprise Software Licensing,Emerson,
RSA Authentication Agent,RSA Authentication Agent,RSA,
WmdcFixesWin10,WmdcFixesWin10,Juniper Systems,
WinHotKey 0.70,WinHotKey 0.70,Brian Mathis,
CrowdStrike Device Control,CrowdStrike Device Control,"CrowdStrike, Inc.",
Rockwell Automation Driver Package x64,Rockwell Automation Driver Package x64,Rockwell Automation,
FactoryTalk Services Platform 6.21.00 (CPR 9 SR 12),FactoryTalk Services Platform 6.21.00 (CPR 9 SR 12),"Rockwell Automation, Inc.",
EtherNet IP Address Commissioning Tool,EtherNet IP Address Commissioning Tool,"Rockwell Automation, Inc.",
FactoryTalk View Site Edition Client 12.00.00 (CPR 9 SR 12),FactoryTalk View Site Edition Client 12.00.00 (CPR 9 SR 12),"Rockwell Automation, Inc.",
FactoryTalk Transaction Manager 13.10.00,FactoryTalk Transaction Manager 13.10.00,"Rockwell Automation, Inc.",
Studio 5000 View Designer,Studio 5000 View Designer,"Rockwell Automation, Inc.",
Mettler-Toledo 1756 Comm Module Profiles,Mettler-Toledo 1756 Comm Module Profiles,Mettler-Toledo Corporation,
Tag Data Monitor Tool,Tag Data Monitor Tool,Rockwell Automation,
Bus Module Profile,Bus Module Profile,Advanced Energy,
Rockwell Automation 1734 Discrete Module Profiles 2,Rockwell Automation 1734 Discrete Module Profiles 2,"Rockwell Automation, Inc.",
Rockwell Automation PowerFlex5 CIP Motion Drive Module Profiles,Rockwell Automation PowerFlex5 CIP Motion Drive Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation DIO EtherNet Safety Module Profiles,Rockwell Automation DIO EtherNet Safety Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Drives PowerFlex 7 3 Module Profiles,Rockwell Automation Drives PowerFlex 7 3 Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Kinetix5700 CIP Motion Modules,Rockwell Automation Kinetix5700 CIP Motion Modules,"Rockwell Automation, Inc.",
Rockwell Automation CompactLogix 5370 L2 Module Profiles,Rockwell Automation CompactLogix 5370 L2 Module Profiles,"Rockwell Automation, Inc.",
Spectrum Controls 1769 Analog Module Profiles,Spectrum Controls 1769 Analog Module Profiles,"Spectrum Controls, Inc.",
Rockwell Automation 1734 Discrete Module Profiles,Rockwell Automation 1734 Discrete Module Profiles,"Rockwell Automation, Inc.",
Endress+Hauser EtherNet/IP Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,"Endress+Hauser, Inc.",
