scale,caption,vendor,brief
10,NI Authentication 2.0 (64-bit),National Instruments,NI Authentication 2.0 (64-bit) is a software designed for secure authentication in OT/ICS systems.
9,NI VC2008MSMs x64,National Instruments,NI VC2008MSMs x64 is a software designed for programming and controlling industrial automation systems.
3,PreEmptive Analytics Visual Studio Components,PreEmptive Solutions,PreEmptive Analytics Visual Studio Components is a software for collecting and analyzing application usage data.
2,Dotfuscator and Analytics Community Edition,PreEmptive Solutions,Dotfuscator and Analytics Community Edition is a software protection and analytics tool for .NET applications.
9,NI VC2008MSMs x86,National Instruments,NI VC2008MSMs x86 is a software designed for programming and controlling industrial automation systems.
10,NI SSL Support,National Instruments,NI SSL Support is a software designed for secure communication between OT/ICS systems.
3,SlimDX Runtime .NET 4.0 x86 (January 2012),SlimDX Group,SlimDX Runtime .NET 4.0 x86 (January 2012) is a library for accessing DirectX APIs from managed code
9,NI EulaDepot,National Instruments,NI EulaDepot is a software designed for managing and deploying software licenses for OT/ICS systems.
2,Actipro WinForms Controls 2016.1,Actipro Software LLC,Actipro WinForms Controls 2016.1 is a UI control library for Windows Forms applications.
10,OpenEnterprise Solutions,Emerson,OpenEnterprise Solutions is an industrial automation software designed for OT/ICS applications.
10,NI-PAL 14.5.0f0,National Instruments,NI-PAL 14.5.0f0 is a software designed for programming and automating industrial control systems.
10,NI-DIM 14.1.0,National Instruments,NI-DIM 14.1.0 is a software designed for OT/ICS to monitor and control industrial processes.
9,VISA Shared Components 64-Bit,IVI Foundation,VISA Shared Components 64-Bit is a software designed for OT/ICS to enable communication between devices and computers.
9,OpenEnterprise Software Licensing,Emerson,OpenEnterprise Software Licensing is designed for managing and monitoring OT/ICS systems
8,RSA Authentication Agent,RSA,RSA Authentication Agent is a software designed to provide secure authentication for OT/ICS systems.
7,WmdcFixesWin10,Juniper Systems,WmdcFixesWin10 is a software designed to fix Windows 10 compatibility issues with Juniper Systems devices
3,WinHotKey 0.70,Brian Mathis,WinHotKey is a program that allows users to create hotkeys to automate tasks
7,CrowdStrike Device Control,"CrowdStrike, Inc.",CrowdStrike Device Control is a security solution designed to protect OT/ICS systems from malicious activities.
